,reviewid,Energy,Danceability,Happiness,Loudness,Acousticness,Instrumentalness,Liveness,Speechiness,Key,Tempo,Duration
16210,4265.0,0.39945454545454545,0.5025454545454546,0.34500000000000003,-10.376090909090907,0.3526,0.4012902,0.12176363636363635,0.03192727272727272,3.5454545454545454,112.25954545454547,255007.27272727274
16211,6378.0,0.5218571428571429,0.34299999999999997,0.30892857142857144,-11.352857142857143,0.3045714285714286,0.10081166571428572,0.31088571428571427,0.05022857142857142,6.0,123.59742857142858,273779.28571428574
16213,8493.0,0.7642777777777777,0.7018333333333333,0.47611111111111115,-7.8869444444444445,0.1337054666666667,0.12030247888888887,0.2663777777777777,0.33272222222222214,4.722222222222222,126.62911111111111,242097.83333333334
16214,8876.0,0.3990833333333333,0.4340833333333334,0.3227083333333333,-16.79408333333333,0.8463333333333333,0.6647266666666667,0.18438333333333332,0.05263333333333334,3.8333333333333335,140.26833333333335,273607.75
16216,741.0,0.7171,0.5752999999999999,0.49339999999999995,-6.5074,0.058798100000000006,0.033075221,0.1907,0.03576,6.2,127.9453,227438.7
16219,6265.0,0.4710000000000001,0.4625555555555556,0.2628111111111111,-12.730166666666667,0.7957777777777778,0.28963302055555556,0.36073888888888883,0.22468333333333332,5.722222222222222,90.16788888888888,128666.66666666667
16223,2330.0,0.5107,0.2331,0.2231,-11.2696,0.427466,0.8593,0.13865,0.03892999999999999,7.2,96.2187,381888.1
16224,1455.0,0.2446461538461539,0.41392307692307695,0.1791846153846154,-14.621153846153845,0.522723076923077,0.379661176923077,0.13306153846153845,0.033176923076923076,6.153846153846154,111.54746153846155,177962.07692307694
16225,4762.0,0.7726,0.7133,0.6378,-9.3636,0.21654,0.49161,0.15193,0.06629,7.1,136.24429999999998,237938.8
16227,11851.0,0.9047500000000002,0.2833125,0.29831250000000004,-7.191437500000001,0.026481354999999998,0.29889675625,0.25705625,0.129175,5.875,140.29125000000002,134988.3125
16229,5290.0,0.7285833333333334,0.5955833333333332,0.6920000000000001,-6.855999999999999,0.1725875,5.8904166666666664e-05,0.2156,0.047433333333333334,6.416666666666667,137.37058333333331,205666.91666666666
16232,3248.0,0.29509285714285716,0.43049999999999994,0.1621714285714286,-18.57435714285714,0.3147985714285714,0.571395,0.17837857142857144,0.05094285714285713,6.357142857142857,85.73478571428572,261958.0
16233,6731.0,0.48645454545454553,0.5584545454545454,0.6325636363636363,-11.337363636363635,0.47410909090909087,0.08158310545454547,0.1387909090909091,0.07652727272727274,5.2727272727272725,117.1769090909091,201071.36363636365
16236,7359.0,0.7334166666666667,0.33466666666666667,0.43494999999999995,-5.487416666666667,0.26400833333333334,0.026632691666666666,0.19955833333333337,0.043775,5.416666666666667,126.11599999999999,224476.75
16241,826.0,0.19005000000000002,0.40659999999999996,0.10090999999999999,-17.2064,0.8469,0.9059000000000001,0.08664,0.05577,7.1,105.15509999999999,251458.7
16242,300.0,0.34392727272727275,0.3344727272727273,0.08798181818181817,-10.763727272727273,0.48182727272727277,0.1755677818181818,0.09596363636363638,0.03196363636363636,4.363636363636363,107.84109090909092,303824.2727272727
16243,4441.0,0.447219090909091,0.4243636363636364,0.2322727272727273,-16.293000000000003,0.3386735454545455,0.4562098127272728,0.15438181818181818,0.052199999999999996,5.363636363636363,100.37863636363636,279680.0
16245,5956.0,0.6995,0.5385833333333334,0.5814999999999999,-5.527666666666666,0.0027944083333333336,0.013904542499999999,0.13961666666666664,0.054008333333333325,2.5,132.1504166666667,204135.66666666666
16246,8046.0,0.7739999999999999,0.32225,0.44007499999999994,-8.746666666666668,0.0009476833333333334,0.014523444166666665,0.18440833333333329,0.03986666666666667,4.0,106.802,257230.08333333334
16248,1245.0,0.3061338095238095,0.375252380952381,0.24040476190476193,-19.28071428571429,0.3796251047619047,0.6628714285714284,0.29835714285714293,0.14927619047619048,4.714285714285714,103.69295238095239,175073.0
16250,7516.0,0.9344347826086957,0.26421739130434785,0.2306391304347826,-4.506521739130434,0.07815641826086957,0.35288162608695656,0.4662173913043478,0.0995608695652174,4.956521739130435,134.2216956521739,199020.30434782608
16251,4175.0,0.9344347826086957,0.26421739130434785,0.2306391304347826,-4.506521739130434,0.07815641826086957,0.35288162608695656,0.4662173913043478,0.0995608695652174,4.956521739130435,134.2216956521739,199020.30434782608
16257,2150.0,0.33416666666666667,0.35483333333333333,0.098125,-9.847999999999999,0.5525416666666666,0.39738399999999996,0.14809166666666665,0.03348333333333333,3.6666666666666665,106.69375000000001,252728.83333333334
16260,3045.0,0.7803684210526316,0.6664736842105263,0.6387894736842105,-3.552526315789474,0.12520578947368421,0.051895655789473694,0.1428578947368421,0.27708947368421055,5.526315789473684,89.86247368421053,219888.42105263157
16261,4786.0,0.9228000000000002,0.25355,0.25751999999999997,-5.3648,0.12124395399999999,0.7958000000000001,0.28756000000000004,0.2287,5.4,137.9564,250478.6
16267,16.0,0.704,0.7582857142857142,0.6119285714285715,-6.2185,0.14988428571428572,0.02378792571428572,0.18479285714285712,0.26657142857142857,7.0,101.03,239069.57142857142
16268,1288.0,0.4316000000000001,0.39910000000000007,0.14683000000000002,-9.251000000000001,0.0989262,0.155706721,0.23357,0.02943,4.2,119.6423,257803.9
16269,4106.0,0.29189999999999994,0.3381,0.22673999999999994,-12.7821,0.7248999999999999,0.47516500000000006,0.14893,0.03259,5.3,126.3066,253236.2
16271,3736.0,0.6344166666666666,0.8452500000000001,0.7518333333333334,-7.500666666666667,0.1364225,0.06598138416666667,0.08902499999999998,0.11620000000000001,6.25,118.15166666666669,148037.66666666666
16273,6513.0,0.48844444444444446,0.5775555555555555,0.12141111111111111,-13.984444444444444,0.5262222222222223,0.8562222222222222,0.0966111111111111,0.056033333333333345,5.888888888888889,121.941,294992.44444444444
16274,5815.0,0.7004999999999999,0.42590000000000006,0.3742500000000001,-7.0687000000000015,0.13770734,0.049412859999999996,0.15101,0.05656,5.3,131.5134,260822.7
16276,4373.0,0.6986363636363637,0.5587272727272727,0.5826363636363635,-7.980181818181819,0.42151818181818185,0.5926914545454545,0.17806363636363637,0.07762727272727274,5.090909090909091,123.784,238947.9090909091
16277,7561.0,0.32711111111111113,0.4013333333333333,0.19722222222222224,-11.933555555555557,0.6686666666666666,0.4902840666666667,0.1422,0.031733333333333336,5.0,110.32177777777777,267382.1111111111
16278,4722.0,0.29379999999999995,0.4923,0.20852999999999997,-23.049299999999995,0.1589117,0.24792141,0.18885999999999997,0.07705999999999999,4.7,112.41690000000001,392789.3
16284,3144.0,0.35085714285714287,0.639,0.459,-16.637857142857143,0.30129999999999996,0.2643182857142857,0.13924285714285714,0.11747142857142857,3.4285714285714284,110.93142857142858,357348.5714285714
16285,7624.0,0.8114166666666667,0.37366666666666665,0.3324416666666667,-6.1881666666666675,0.0069771266666666665,0.30843916666666665,0.17483333333333337,0.053950000000000005,5.75,133.20775,203579.91666666666
16287,6359.0,0.5460833333333333,0.5414166666666665,0.5641916666666665,-8.9825,0.4487266666666667,0.7397166666666667,0.10160833333333334,0.042333333333333334,6.333333333333333,136.3995,193159.0
16288,603.0,0.6357857142857143,0.7350000000000001,0.4901428571428571,-10.292000000000002,0.1294357142857143,0.1167945642857143,0.20015,0.30897142857142856,6.714285714285714,109.14900000000002,204179.07142857142
16291,1230.0,0.4747500000000001,0.46168750000000003,0.4721,-12.316375000000003,0.5090812499999999,0.580792,0.2522,0.0418125,6.3125,124.57125,178692.5625
16292,5262.0,0.6424000000000001,0.5886,0.42630000000000007,-10.791300000000001,0.34412800000000004,0.4341900000000001,0.15192999999999998,0.29323,4.0,131.86919999999998,258966.7
16296,5245.0,0.9036,0.30306,0.10054,-7.873400000000001,0.119268,0.4864,0.284,0.23392,4.8,120.6434,580391.8
16297,86.0,0.5298454545454546,0.377,0.3021363636363636,-10.457454545454544,0.18418845454545452,0.12397020909090908,0.20626363636363632,0.05040909090909091,5.636363636363637,132.94663636363637,169667.0909090909
16300,6671.0,0.8222222222222222,0.3456666666666667,0.3852222222222222,-5.055000000000001,0.11707955555555556,0.007631922222222223,0.2386666666666667,0.047700000000000006,6.888888888888889,130.53855555555552,236536.33333333334
16303,898.0,0.8592727272727273,0.3105045454545455,0.46738181818181823,-5.384681818181818,0.1580091818181818,0.2918809090909091,0.30495,0.12634545454545454,4.818181818181818,137.7321363636364,97093.27272727272
16305,2364.0,0.734181818181818,0.657090909090909,0.42236363636363633,-6.929272727272728,0.04582,0.5242258381818182,0.23473636363636363,0.12717272727272727,5.090909090909091,126.2499090909091,326838.8181818182
16306,6963.0,0.6386363636363637,0.34660909090909087,0.38614545454545457,-9.172181818181818,0.23782907272727272,0.47093681818181826,0.26910909090909096,0.043927272727272725,5.454545454545454,132.77463636363635,195623.0
16307,5132.0,0.8794183583333331,0.29435833333333333,0.15083333333333332,3.0555,0.06344963333333332,0.491849325,0.30011666666666664,0.24306666666666668,4.25,119.55516666666666,189976.5
16308,2305.0,0.716,0.47333333333333333,0.6015555555555555,-6.766777777777778,0.38337777777777776,0.058934088888888896,0.14403333333333335,0.06382222222222221,4.888888888888889,117.1987777777778,250653.22222222222
16310,6360.0,0.6911666666666667,0.36525,0.38766666666666666,-7.935999999999999,0.10073391666666669,0.18068513,0.20200000000000004,0.03831666666666667,4.75,124.51183333333336,220104.33333333334
16311,3731.0,0.5974222222222223,0.2707777777777778,0.15888888888888889,-12.868111111111112,0.47562666666666664,0.5670513333333332,0.13472222222222222,0.0660888888888889,6.666666666666667,112.1948888888889,315223.8888888889
16313,5318.0,0.5635384615384615,0.5285384615384616,0.44184615384615383,-8.007846153846156,0.35822923076923086,0.11043841461538463,0.20593076923076925,0.03241538461538462,5.230769230769231,121.60761538461537,194595.84615384616
16314,7990.0,0.9221538461538462,0.2889230769230769,0.48584615384615376,-3.679307692307692,0.11729999999999999,0.0018153846153846154,0.23000769230769227,0.06078461538461539,7.461538461538462,151.23346153846154,128173.38461538461
16315,950.0,0.2646333333333334,0.5196666666666667,0.28207777777777776,-15.910555555555558,0.5561666666666666,0.69587,0.15639999999999998,0.045977777777777784,7.222222222222222,108.99955555555556,263284.44444444444
16316,2647.0,0.6874545454545454,0.46654545454545454,0.532909090909091,-5.491181818181818,0.10925381818181817,0.013463829090909091,0.19434545454545457,0.03439999999999999,6.181818181818182,131.89245454545454,198865.63636363635
16318,2459.0,0.8609999999999999,0.26466666666666666,0.19856666666666667,-7.952583333333333,0.01070273,0.5326266666666667,0.11620833333333336,0.0857,6.75,129.46925000000002,349752.0833333333
16322,1366.0,0.5172,0.3278,0.38026000000000004,-9.0634,0.19730036999999997,0.051168599999999995,0.13890000000000002,0.05655,4.7,127.16359999999997,338901.3
16323,2380.0,0.6955,0.6951250000000001,0.6640625000000001,-7.997937500000001,0.05631943749999999,0.23129815,0.13861875,0.15001875,5.1875,114.66137499999999,285406.5625
